Subject,CourseCode,CourseNbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Instructor
IEE,220,73291,Business/Industrial Engr,M W ,4:35 PM,5:50 PM,TEMPE,80,BYENGM1-09,Fleischner
IEE,300,71308,Economic Analys for Engineers,T Th ,3:00 PM,4:15 PM,TEMPE,80,INTRT,Jennings
IEE,376,71310,Oper Rsrch Det Tech/Apps,T Th ,1:30 PM,2:45 PM,TEMPE,190,BYAC110,Mirchandani
IEE,380,77308,Prob & Stats Engr Prob Solving,T Th ,4:30 PM,5:45 PM,TEMPE,132,BYENGM1-09,Chattin
IEE,380,87728,Prob & Stats Engr Prob Solving,T Th ,6:00 PM,7:15 PM,TEMPE,126,-,Bren
IEE,385,80376,Engr Statistics - Probability,T Th ,6:00 PM,7:15 PM,TEMPE,130,BYAC270,Chattin
IEE,394,78677,Topic: Extreme Excel, ,6:00 PM,7:15 PM,TEMPE,150,INTRT,McCarville
IEE,412,80379,Intro to Financial Engineering,M W ,10:45 AM,12:00 PM,TEMPE,69,BYAC150,McCarville
IEE,426,91345,Operations Rrsch in Healthcare,M W ,4:35 PM,5:50 PM,TEMPE,50,INTRT,Wu
IEE,431,91929,Engineering Administration, ,6:00 PM,7:15 PM,TEMPE,80,PSH153,Jennings
IEE,437,71311,Human Factors Engineering,M W ,6:00 PM,7:15 PM,TEMPE,150,BYAC270,Parry
IEE,454,77730,Risk Management,T Th ,4:30 PM,5:45 PM,TEMPE,132,INTRT,McCarville
IEE,461,77813,Production Control,M W ,3:05 PM,4:20 PM,TEMPE,60,BYAC270,Chattin
IEE,470,72508,Stochastic Operations Research,M W F ,2:00 PM,2:50 PM,TEMPE,150,INTRT,Ju
IEE,474,74270,Quality Control,M W F ,9:40 AM,10:30 AM,TEMPE,128,BYAC270,Li
IEE,506,91213,Web-Enabled Decn Support Systs,T Th ,1:30 PM,2:45 PM,TEMPE,80,INTRT,Ye
IEE,511,75531,Analysis of Decision Processes,T Th ,6:00 PM,7:15 PM,TEMPE,150,BYAC270,Mirchandani
IEE,512,91879,Intro to Financial Engineering,M W ,10:45 AM,12:00 PM,TEMPE,132,INTRT,McCarville
IEE,520,72692,Stat Learning for Data Mining,T Th ,4:30 PM,5:45 PM,TEMPE,80,BYENGM1-09,Runger
IEE,526,91346,Operations Rrsch in Healthcare,M W ,4:35 PM,5:50 PM,TEMPE,80,INTRT,Wu
IEE,545,91992,Simulating Stochastic Systems,M W ,3:05 PM,4:20 PM,TEMPE,190,BYAC110,Staff
IEE,547,71313,Human Factors Engineering,M W ,6:00 PM,7:15 PM,TEMPE,132,BYENGM1-09,Parry
IEE,571,92066,Quality Management,T Th ,12:00 PM,1:15 PM,TEMPE,126,-,Jennings
IEE,572,75775,Design Engineering Experiments,T Th ,9:00 AM,10:15 AM,TEMPE,130,BYAC270,Montgomery
IEE,573,91770,Reliability Engineering,M W ,9:00 AM,10:15 AM,TEMPE,150,INTRT,Pan
